# m_0[GeV] 1/Lambda[1/GeV]
0.01 1e-3
0.0153301 0.000021594384417270707
0.0206601 0.000016510545075160405
0.0249242 0.000014133988990039892
0.0291883 0.00001096032168556873
0.0398484 0.000008262165964581538
0.0547726 0.000005885896905458005
0.080357 0.000004192773361984387
0.116601 0.000003160094001362482
0.15178 0.0000026667442668835728
0.212543 0.0000022659912248635585
0.299956 0.000002140288646154323
0.362851 0.000002247852142578958
0.427878 0.000002462986563958111
0.485443 0.0000025326197083755575
0.536611 0.0000024267278534124124
0.621892 0.0000022440821166293884
0.711438 0.000002149719708647233
0.787125 0.000002148665641048489
0.862812 0.00000222481171932571
0.917711 0.0000027295799506993235
0.916112 0.000003099667026617591
0.904386 0.000003570242672682078
0.873472 0.000004476558304361879
0.767936 0.0000072928567919442145
0.647477 0.0000123092204263051
0.461457 0.000031088125540075024
0.3362 0.000068628628120466
0.226934 0.00018202276172237837
0.164572 0.00041317060810459514
0.0984792 0.0016042515724088743
0.0654328 0.004629010571025076
