# m_0[GeV] 1/Lambda[1/GeV]
0.01 0.0009929617409236253
0.013198 0.0003853723670937031
0.0142641 0.00019016435046246232
0.0174621 0.00011598349140920629
0.0249242 0.00008743308283800592
0.0377164 0.000054081762266176015
0.0515746 0.00004375093059874648
0.0654328 0.00004134361216284408
0.100611 0.000041922231104517924
0.144318 0.00004017135495075867
0.18376 0.00003742231364285143
0.241325 0.00003958298232845213
0.257315 0.00004755740115313663
0.259447 0.000054004113067085134
0.254117 0.00006866514101974473
0.231731 0.00010641022588034208
0.188557 0.00021570158220542225
0.141653 0.0005035974119900967
0.101677 0.0012796876081505792
0.0760929 0.0026306277658023317
0.0633007 0.0041344183347044065
