# m_0[GeV] 1/Lambda[1/GeV]
0.0153301 0.000015169336842700828
0.0291883 0.000008743066701810292
0.0483765 0.000006497936098470364
0.081423 0.0000035893327777039368
0.14112 0.0000020681494655050704
0.193355 0.0000015367406060402857
0.246655 0.0000012784859701284342
0.301022 0.0000012250055584443047
0.353257 0.000001207413676154068
0.380973 0.0000012955462982049449
0.437472 0.000001351135318420878
0.512093 0.000001294446005242695
0.596308 0.000001205513544222646
0.726362 0.000001060697076976306
0.864944 0.000001030223460086656
0.979007 0.0000011690286664162394
1.00406 0.0000017731123564326633
0.990733 0.0000019437976679276074
0.888396 0.0000035205277097621014
0.727428 0.000006749465062869535
0.531814 0.00001669005960646511
0.351125 0.00005321497590328893
0.192289 0.00023477543113000285
0.085687 0.0022518929291994137
0.0547726 0.005969632832141078
