# m_0[GeV] 1/Lambda[1/GeV]
0.010 0.005408848715504606
0.0185281 0.005408848715504606
0.0473105 0.005886181519263962
0.083555 0.006588877085763678
0.111271 0.005967447694669018
0.14112 0.00469256333491925
0.199751 0.004496144245079614
0.249853 0.004369475392219271
0.283966 0.003846968005763613
0.32021 0.0028587897683713067
0.348993 0.0023124730474781965
0.395897 0.002662529164078661
0.431076 0.0035309759581063547
0.46732 0.003108694444801882
0.509961 0.003951413836237778
0.551535 0.004299771064509964
0.605902 0.004062117263095417
0.645345 0.003892571054035421
0.689051 0.003475632061866264
0.770068 0.0031026018089620492
0.828699 0.0030579196723899693
0.877736 0.003280672817203647
0.938499 0.003279381339088959
1.00459 0.0032319970272580304
2.00459 0.0032319970272580304
