# m_0[GeV] 1/Lambda[1/GeV]
0.010 0.0009297697241235044
0.020 0.0008997697241235044
0.0502251 0.0008778013135972489
0.0841929 0.0008611056360191928
0.100283 0.0007850163573240328
0.125312 0.0006638996288795544
0.155704 0.0006516526602241366
0.20755 0.0006278323155294794
0.257608 0.0005720215611538888
0.291576 0.0005021212777868322
0.313029 0.00043263195928117863
0.341633 0.0003333581299752055
0.361299 0.0002981216601340791
0.395267 0.0003152479645095275
0.405994 0.000365883073044873
0.427447 0.0004407627172264104
0.452476 0.0004748428087564426
0.473929 0.0004091285985894644
0.495383 0.0003272086664249315
0.511473 0.00039417341642310774
0.52935 0.0005409456575207514
0.581196 0.0005614694689023866
0.613376 0.0005309668230346981
0.668797 0.0004748428087564431
0.718855 0.00044076271722641084
0.776064 0.0004490462822478318
0.874392 0.00044076271722641084
1.00132 0.00044076271722641084
2.00132 0.0004076271722641084
6.00132 0.0004076271722641084
