# Lines from fig 8 of https://arxiv.org/abs/2210.00751 
# Note: this is hidden energy search for invisibly decaying G (massive spin-2 mediator)!
# m_G [GeV]    c_l [1/GeV]
0.001    0.00013109037947587574
0.0072745668203509205    0.00012919352312992148
0.010465062767727726    0.00012912206885655518
0.016258699377951054    0.00012724015573572104
0.025615578958052408    0.0001253830029515284
0.05047927815161903    0.0001270210421785937
0.07787891524171751    0.0001305448027509195
0.1441099612894841    0.00013988751207943454
0.219243308788777    0.00014994351243557201
0.319841975632975    0.00016530063508168758
0.46334807730309324    0.00018223256359441793
0.695128828351064    0.00021546677349596247
1    0.0002657161388697656
